,temp-4.5C to -1.5C,temp-1.5C to 1.5C,temp1.5C to 4.5C,temp4.5C to 7.5C,temp7.5C to 10.5C,temp10.5C to 13.5C,temp13.5C to 16.5C,temp16.5C to 19.5C
12:30:00 AM,0.011154,0.012155,0.011846,0.011672,0.011774,0.012432,0.013569,0.015339
1:00:00 AM,0.011647,0.012481,0.012166,0.011939,0.012175,0.013288,0.0148,0.016824
1:30:00 AM,0.012252,0.012997,0.012746,0.01252,0.013019,0.014896,0.017225,0.02024
2:00:00 AM,0.01249,0.013325,0.013178,0.012965,0.013618,0.01592,0.018752,0.022241
2:30:00 AM,0.012887,0.013873,0.013937,0.013896,0.014934,0.018095,0.022021,0.026529
3:00:00 AM,0.013495,0.014455,0.014653,0.014749,0.016023,0.019652,0.024049,0.028659
3:30:00 AM,0.014416,0.015324,0.015656,0.015924,0.017539,0.021801,0.026949,0.031867
4:00:00 AM,0.015204,0.016017,0.016385,0.016664,0.018256,0.022272,0.027148,0.03113
4:30:00 AM,0.016223,0.01702,0.017431,0.017768,0.019467,0.023598,0.028562,0.032073
5:00:00 AM,0.017449,0.018193,0.018678,0.01901,0.020684,0.02478,0.029432,0.032356
5:30:00 AM,0.018909,0.019885,0.020602,0.020982,0.022814,0.027076,0.031236,0.03351
6:00:00 AM,0.020528,0.021801,0.022941,0.023326,0.025187,0.028832,0.031468,0.032056
6:30:00 AM,0.022545,0.024089,0.025709,0.026179,0.028225,0.031012,0.031574,0.030027
7:00:00 AM,0.024571,0.026087,0.028071,0.028505,0.030527,0.032052,0.030595,0.027344
7:30:00 AM,0.026114,0.027421,0.029497,0.029778,0.031622,0.032074,0.029193,0.025111
8:00:00 AM,0.026876,0.02782,0.029671,0.029604,0.030895,0.030353,0.026849,0.022747
8:30:00 AM,0.026983,0.027522,0.028901,0.028515,0.02915,0.028029,0.02456,0.020905
9:00:00 AM,0.026556,0.026786,0.027556,0.026918,0.026867,0.025333,0.022283,0.019271
9:30:00 AM,0.025835,0.025726,0.02589,0.025131,0.024551,0.02284,0.020288,0.017913
10:00:00 AM,0.025039,0.024566,0.024225,0.023422,0.022489,0.020674,0.018623,0.016775
10:30:00 AM,0.024368,0.023449,0.022736,0.021982,0.020845,0.019033,0.0174,0.016011
11:00:00 AM,0.023695,0.022519,0.021565,0.020927,0.019635,0.017809,0.016491,0.015569
11:30:00 AM,0.023081,0.021878,0.020836,0.020406,0.019041,0.017446,0.016473,0.016144
12:00:00 PM,0.022495,0.021426,0.020429,0.02019,0.018775,0.017475,0.016886,0.017041
12:30:00 PM,0.022003,0.021189,0.020306,0.020249,0.018888,0.01798,0.017925,0.018444
1:00:00 PM,0.021535,0.020911,0.020033,0.020076,0.018703,0.01784,0.018007,0.018698
1:30:00 PM,0.021205,0.020751,0.019804,0.019995,0.018693,0.017922,0.018387,0.019404
2:00:00 PM,0.021043,0.020551,0.019544,0.019833,0.01851,0.017513,0.017937,0.018999
2:30:00 PM,0.021321,0.020721,0.019786,0.020213,0.019002,0.01801,0.018708,0.019996
3:00:00 PM,0.021873,0.021091,0.02028,0.020736,0.019504,0.018254,0.018907,0.020204
3:30:00 PM,0.022671,0.021847,0.021227,0.021751,0.020655,0.019547,0.020487,0.022008
4:00:00 PM,0.023353,0.022559,0.022148,0.022653,0.021603,0.020351,0.021214,0.022196
4:30:00 PM,0.024038,0.023428,0.023255,0.023802,0.023016,0.021882,0.022866,0.023223
5:00:00 PM,0.024725,0.024204,0.024178,0.024661,0.024033,0.02267,0.023327,0.022786
5:30:00 PM,0.025336,0.024929,0.024947,0.025331,0.024893,0.023458,0.02357,0.022531
6:00:00 PM,0.025714,0.02523,0.025212,0.025404,0.024979,0.023271,0.022335,0.020698
6:30:00 PM,0.025723,0.025176,0.025119,0.025156,0.024791,0.022965,0.02101,0.018985
7:00:00 PM,0.025658,0.024861,0.024766,0.0247,0.024386,0.022427,0.019733,0.017386
7:30:00 PM,0.025598,0.024535,0.024409,0.024296,0.024049,0.022007,0.018972,0.016546
8:00:00 PM,0.025536,0.02424,0.024097,0.023957,0.023692,0.021574,0.01832,0.015772
8:30:00 PM,0.025086,0.023846,0.023722,0.023566,0.02327,0.021179,0.017793,0.015239
9:00:00 PM,0.02421,0.023224,0.02312,0.022962,0.022654,0.020782,0.017322,0.014777
9:30:00 PM,0.022651,0.02202,0.021904,0.021734,0.021466,0.020001,0.016852,0.014637
10:00:00 PM,0.020413,0.02011,0.019974,0.019786,0.01955,0.018558,0.016029,0.014287
10:30:00 PM,0.017441,0.017508,0.017349,0.017151,0.016946,0.016399,0.014884,0.014022
11:00:00 PM,0.014521,0.014955,0.014766,0.014581,0.014378,0.014135,0.013571,0.013644
11:30:00 PM,0.012312,0.013086,0.012835,0.012678,0.012541,0.012579,0.012822,0.013841
12:00:00 AM,0.011223,0.01221,0.011913,0.011754,0.011686,0.011922,0.012594,0.013995
