delivery_date_day,avgp376unclipped,avgp376clipped
2022-11-15,95206.43404907273,188231.95131885004
2022-11-22,85386.34774308659,194358.27437147466
2022-11-30,86865.02401935667,198753.15447056218
2022-12-01,82312.54016213602,191001.44067807708
2022-12-12,197677.08083050163,453055.5065733909
2023-01-19,64626.75915182528,149090.04710046022
2023-01-23,146280.1987794242,244763.25790675968
2023-01-24,180429.30703273014,329158.2745250458
2023-01-30,74079.71300149421,146176.83089763156
2023-02-13,87920.95069435409,209080.93629115296
2023-02-21,111136.61492603325,216965.29246297735
2023-03-15,78855.68741679894,205446.37596032332
2023-03-23,72591.82260032819,192276.05364962982
