,hnd,historic
2020,1000,1000
2021,1000,1000
2022,1100,1000
2023,3000,1000
2024,4000,1000
2025,6000,1000
2026,9500,1000
2027,9300,1000
2028,9250,1000
2029,11500,1000
2030,12000,1000
2031,12000,1000
2032,12000,1000
2033,12000,1000
2034,12000,1000
2035,12000,1000
2036,12000,1000
2037,12000,1000
2038,12000,1000
2039,12000,1000
2040,12000,1000
2041,12000,1000
2042,12000,1000
2043,12000,1000
2044,12000,1000
2045,12000,1000
2046,12000,1000
2047,12000,1000
2048,12000,1000
2049,12000,1000
2050,12000,1000
